"api_number","reported_on","barrels_oil","mcf_gas","barrels_water","days_producing"
"4900537345","20070801","0","320.85","930",""
"4900537592","20070801","0","194.06","0",""
"4900537584","20070801","0","1254.88","0",""
"4900537594","20070801","0","318.99","0",""
"4900537590","20070801","0","1142.97","4495",""
"4900543720","20070601","0","18","0",""
"4900543722","20070801","0","2479.07","3100",""
"4900543723","20070701","0","0","899.93",""
"4900543724","20070401","0","267.9","0",""
"4900543726","20070801","0","0","1705",""
"4900543728","20070801","0","655.03","0",""
"4900537591","20070801","0","315.89","0",""
"4900537595","20070801","0","380.06","0",""
"4900537593","20070801","0","824.91","1705",""
"4900537597","20070101","0","0","629.92",""
"4900537596","20070801","0","783.99","0",""
"4900537600","20070801","0","579.08","930",""
"4900537598","20070801","0","359.91","0",""
"4900537658","20070301","0","113.15","0",""
"4900537599","20070801","0","410.13","0",""
"4900543731","20070801","0","265.05","0",""
"4900543733","20060801","0","35.96","0",""
"4900543733","20030901","0","381","225",""
